,Country,latitude,longitudes
65,Afghanistan,33.7680065,66.2385139
65,Albania,41.000028,19.9999619
65,Algeria,28.0000272,2.9999825
65,Andorra,42.5407167,1.5732033
65,Angola,-11.8775768,17.5691241
65,Antigua and Barbuda,17.2234721,-61.9554608
65,Argentina,-34.9964963,-64.9672817
65,Armenia,40.7696272,44.6736646
65,Australia,-24.7761086,134.755
65,Austria,47.2000338,13.199959
65,Azerbaijan,40.3936294,47.7872508
65,Bahamas,24.7736546,-78.0000547
65,Bahrain,26.1551249,50.5344606
65,Bangladesh,24.4768783,90.2932426
65,Barbados,13.1500331,-59.5250305
65,Belarus,53.4250605,27.6971358
65,Belgium,50.6402809,4.6667145
65,Belize,16.8259793,-88.7600927
65,Benin,9.5293472,2.2584408
65,Bhutan,27.549511,90.5119273
65,Bolivia,-17.0568696,-64.9912286
65,Bosnia and Herzegovina,44.3053476,17.5961467
65,Brazil,-10.3333333,-53.2
65,Brunei,4.4137155,114.5653908
65,Bulgaria,42.6073975,25.4856617
65,Burkina Faso,12.0753083,-1.6880314
65,Burma,17.1750495,95.9999652
65,Cabo Verde,16.0000552,-24.0083947
65,Cambodia,13.5066394,104.869423
65,Cameroon,4.6125522,13.1535811
65,Canada,61.0666922,-107.9917071
65,Central African Republic,7.0323598,19.9981227
65,Chad,15.6134137,19.0156172
65,Chile,-31.7613365,-71.3187697
65,China,35.000074,104.999927
65,Colombia,2.8894434,-73.783892
65,Congo (Brazzaville),-0.7264327,15.6419155
65,Congo (Kinshasa),-2.9814344,23.8222636
65,Costa Rica,10.2735633,-84.0739102
65,Cote d'Ivoire,7.9897371,-5.5679458
65,Croatia,45.5643442,17.0118954
65,Cuba,23.0131338,-80.8328748
65,Cyprus,34.9823018,33.1451285
65,Czechia,49.8167003,15.4749544
65,Denmark,55.670249,10.3333283
65,Diamond Princess,53.8953584,27.5554078
65,Djibouti,11.8145966,42.8453061
65,Dominica,19.0974031,-70.3028026
65,Dominican Republic,19.0974031,-70.3028026
65,Ecuador,-1.3397668,-79.3666965
