,Country,Dates,Confirmed,latitude,longitudes
68,Libya,2020-03-30,8,26.8234472,18.1236723
68,Liechtenstein,2020-03-30,62,47.1416307,9.5531527
68,Lithuania,2020-03-30,491,55.3500003,23.7499997
68,Luxembourg,2020-03-30,1988,49.8158683,6.1296751
68,MS Zaandam,2020-03-30,2,52.4387696,4.8185293
68,Madagascar,2020-03-30,43,-18.9249604,46.4416422
68,Malaysia,2020-03-30,2626,4.5693754,102.2656823
68,Maldives,2020-03-30,17,4.7064352,73.3287853
68,Mali,2020-03-30,25,16.3700359,-2.2900239
68,Malta,2020-03-30,156,35.8885993,14.4476911
68,Mauritania,2020-03-30,5,20.2540382,-9.2399263
68,Mauritius,2020-03-30,128,-20.2759451,57.5703566
68,Mexico,2020-03-30,993,19.4326296,-99.1331785
68,Moldova,2020-03-30,298,47.2879608,28.5670941
68,Monaco,2020-03-30,49,43.7323492,7.4276832
68,Mongolia,2020-03-30,12,46.8250388,103.8499736
68,Montenegro,2020-03-30,91,42.9868853,19.5180992
68,Morocco,2020-03-30,556,31.1728205,-7.3362482
68,Mozambique,2020-03-30,8,-19.302233,34.9144977
68,Namibia,2020-03-30,11,-23.2335499,17.3231107
68,Nepal,2020-03-30,5,28.1083929,84.0917139
68,Netherlands,2020-03-30,11817,52.5001698,5.7480821
68,New Zealand,2020-03-30,589,-41.5000831,172.8344077
68,Nicaragua,2020-03-30,4,12.6090157,-85.2936911
68,Niger,2020-03-30,27,17.7356214,9.3238432
68,Nigeria,2020-03-30,131,9.6000359,7.9999721
68,North Macedonia,2020-03-30,285,41.6171214,21.7168387
68,Norway,2020-03-30,4445,60.5000209,9.0999715
68,Oman,2020-03-30,179,21.0000287,57.0036901
68,Pakistan,2020-03-30,1717,30.3308401,71.247499
68,Panama,2020-03-30,989,8.559559,-81.1308434
68,Papua New Guinea,2020-03-30,1,-5.6816069,144.2489081
68,Paraguay,2020-03-30,64,-23.3165935,-58.1693445
68,Peru,2020-03-30,950,-6.8699697,-75.0458515
68,Philippines,2020-03-30,1546,12.7503486,122.7312101
68,Poland,2020-03-30,2055,52.215933,19.134422
68,Portugal,2020-03-30,6408,40.0332629,-7.8896263
68,Qatar,2020-03-30,693,25.3336984,51.2295295
68,Romania,2020-03-30,2109,45.9852129,24.6859225
68,Russia,2020-03-30,1836,64.6863136,97.7453061
68,Rwanda,2020-03-30,70,-1.9646631,30.0644358
68,Saint Kitts and Nevis,2020-03-30,7,17.250512,-62.6725973
68,Saint Lucia,2020-03-30,9,13.8250489,-60.975036
68,Saint Vincent and the Grenadines,2020-03-30,1,12.90447,-61.2765569
68,San Marino,2020-03-30,230,43.9458623,12.458306
68,Saudi Arabia,2020-03-30,1453,25.6242618,42.3528328
68,Senegal,2020-03-30,162,14.4750607,-14.4529612
68,Serbia,2020-03-30,785,44.024322850000004,21.07657433209902
68,Seychelles,2020-03-30,8,-4.6574977,55.4540146
68,Singapore,2020-03-30,879,1.357107,103.8194992
68,Slovakia,2020-03-30,336,48.7411522,19.4528646
68,Slovenia,2020-03-30,756,45.8133113,14.4808369
68,Somalia,2020-03-30,3,8.3676771,49.083416
68,South Africa,2020-03-30,1326,-28.8166236,24.991639
68,Spain,2020-03-30,87956,39.3262345,-4.8380649
68,Sri Lanka,2020-03-30,122,7.5554942,80.7137847
68,Sudan,2020-03-30,6,14.5844444,29.4917691
68,Suriname,2020-03-30,8,4.1413025,-56.0771187
68,Sweden,2020-03-30,4028,59.6749712,14.5208584
68,Switzerland,2020-03-30,15922,46.7985624,8.2319736
68,Syria,2020-03-30,10,34.6401861,39.0494106
68,Taiwan*,2020-03-30,306,23.59829785,120.83536313817521
68,Tanzania,2020-03-30,19,-6.5247123,35.7878438
68,Thailand,2020-03-30,1524,14.8971921,100.83273
68,Timor-Leste,2020-03-30,1,-8.5151979,125.8375756
68,Togo,2020-03-30,30,8.7800265,1.0199765
68,Trinidad and Tobago,2020-03-30,82,10.8677845,-60.9821067
68,Tunisia,2020-03-30,312,33.8439408,9.400138
68,Turkey,2020-03-30,10827,38.9597594,34.9249653
68,US,2020-03-30,161807,39.7837304,-100.4458825
68,Uganda,2020-03-30,33,1.5333554,32.2166578
68,Ukraine,2020-03-30,548,49.4871968,31.2718321
68,United Arab Emirates,2020-03-30,611,24.0002488,53.9994829
68,United Kingdom,2020-03-30,22453,54.7023545,-3.2765753
68,Uruguay,2020-03-30,310,-32.8755548,-56.0201525
68,Uzbekistan,2020-03-30,149,41.32373,63.9528098
68,Venezuela,2020-03-30,135,8.0018709,-66.1109318
68,Vietnam,2020-03-30,203,13.2904027,108.4265113
68,West Bank and Gaza,2020-03-30,116,31.4331663,34.3779285
68,Zambia,2020-03-30,35,-14.5186239,27.5599164
68,Zimbabwe,2020-03-30,7,-18.4554963,29.7468414
